Timestamp	What's your age group?	What's your highest degree?	If applicable, what field of study was your highest degree in?	Did you finish the course?	How many years have you been programming?	How many hours, on average, did you spend per week on the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	How difficult did you find the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	Do you feel the course was worth the time you invested in it?	Would you take a follow-up functional programming in Scala course, if it were offered?	What is your preferred editor, for use outside of this course?	What editor did you end up using for the majority of the course?	What experience do you have with other programming languages or paradigms? [Java]	What experience do you have with other programming languages or paradigms? [C / C++ / Objective-C]	What experience do you have with other programming languages or paradigms? [Python / Ruby / Perl / other scripting language]	What experience do you have with other programming languages or paradigms? [C#/.NET]	What experience do you have with other programming languages or paradigms? [Objective-C]	What experience do you have with other programming languages or paradigms? [JavaScript]	What experience do you have with other programming languages or paradigms? [Haskell / OCaml / ML / F#]	What interested you in the Principles of Reactive Programming course?	Where do you plan to apply what you've learned in this course?	How difficult did you find the homework assignments? [Part 1: weeks 1 & 2 with Prof. Odersky]	What experience do you have with other programming languages or paradigms? [Lisp / Scheme / Clojure]	What country do you live in?	What's your gender?	How difficult did you find the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How many hours, on average, did you spend per week on the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How many hours, on average, did you spend per week on the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How difficult did you find the homework assignments? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the homework assignments? [Part 3: weeks 5-7 with Dr. Kuhn]
1/16/2014 17:42:10	25-34	Master's Degree (or equivalent)	Computer Science	Yes	10-15 years	8-10 hours	4	4		vim	IntelliJ	I'm an expert	I have some experience writing code	I'm an expert	I've seen and understand some code		I'm an expert	I have some experience writing code	Personal Interest/Curiosity	Personal projects	4	I have some experience writing code	United Kingdom	Male	4	3	6-8 hours	6-8 hours	4	3
1/16/2014 17:42:22	18-24	Some College (or equivalent)	Computer/Software Engineering	Yes	3-5 years	1-4 hours	3	4		vim	Eclipse	I have some experience writing code	I have some experience writing code	I'm fluent	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	India	Male	4	4	4-6 hours	8-10 hours	4	4
1/16/2014 17:42:46	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	7-10 years	1-4 hours	2	4		IntelliJ	IntelliJ	I'm an expert	I'm fluent	I'm an expert	I'm fluent		I'm fluent	I have some experience writing code	Helps With Profession	Team project at work	4	I have some experience writing code	Brazil	Male	4	3	4-6 hours	4-6 hours	5	3
1/16/2014 17:42:52	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	1-4 hours	2	3		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I have some experience writing code	I have some experience writing code	Helps With Profession	Team project at work	2	I have some experience writing code	United States	Male	3	2	1-4 hours	1-4 hours	3	4
1/16/2014 17:43:01	35-44	Master's Degree (or equivalent)	Statistics/Mathematics	Yes	15-20 years	4-6 hours	2	4		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I have some experience writing code	I have some experience writing code		I'm fluent	I have some experience writing code	Personal Interest/Curiosity	Personal projects	2	I have some experience writing code	Russian Federation	Male	4	5	4-6 hours	4-6 hours	4	5
1/16/2014 17:43:03	25-34	Master's Degree (or equivalent)	Computer Science	No	10-15 years	10+ hours	2	3		TextMate	Eclipse	I have some experience writing code	I've seen and understand some code	I'm fluent	I've seen and understand some code		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I've seen and understand some code	United Kingdom	Male	4	2	10+ hours	1-4 hours	4	5
1/16/2014 17:43:07	25-34	Master's Degree (or equivalent)	Statistics/Mathematics	Yes	5-7 years	4-6 hours	3	3		IntelliJ	IntelliJ	I'm fluent	No experience / not seen it at all	I have some experience writing code	I have some experience writing code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Personal projects	3	No experience / not seen it at all	Russian Federation	Male	3	3	4-6 hours	4-6 hours	3	3
1/16/2014 17:43:14	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	5-7 years	8-10 hours	5	3		vim	Eclipse	I'm fluent	I have some experience writing code	I have some experience writing code	I'm fluent		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	Personal projects	5	No experience / not seen it at all	Canada	Male	4	4	8-10 hours	6-8 hours	4	4
1/16/2014 17:43:22	10/17/2014	Master's Degree (or equivalent)	Computer Science	No	10-15 years	4-6 hours	3	2		IntelliJ	Eclipse	I'm an expert	I'm fluent	I've seen and understand some code	I've seen and understand some code		I'm fluent	No experience / not seen it at all	Helps With Profession	No application plans, attended for general interest	4	No experience / not seen it at all	Malta	Male	4	5	6-8 hours	1-4 hours	5	5
1/16/2014 17:43:22	35-44	Doctorate Degree (or equivalent)	Computer Science	Yes	10-15 years	1-4 hours	2	4		vim	Eclipse	I'm fluent	I'm an expert	I'm fluent	I've seen and understand some code		I've seen and understand some code	I have some experience writing code	Personal Interest/Curiosity	Individual project at work	2	I have some experience writing code	United States	Male	4	4	6-8 hours	6-8 hours	4	4
1/16/2014 17:43:22	18-24	Bachelor's Degree (or equivalent)	Electrical Engineering	Yes	3-5 years	4-6 hours	2	4		IntelliJ	Eclipse	I'm fluent	I have some experience writing code	I'm fluent	I'm fluent		I've seen and understand some code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	I have some experience writing code	Russian Federation	Male	4	3	6-8 hours	8-10 hours	4	3
1/16/2014 17:43:29	45-54	Bachelor's Degree (or equivalent)	Physics	No	10-15 years	4-6 hours	3	5		IntelliJ	IntelliJ	I'm fluent	I'm fluent	I've seen and understand some code	No experience / not seen it at all		No experience / not seen it at all	I've seen and understand some code	Helps With Profession	Individual project at work	3	No experience / not seen it at all	United States	Male	3	3	4-6 hours	4-6 hours	3	3
1/16/2014 17:43:31	45-54	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	6-8 hours	3	4		IntelliJ	IntelliJ	I'm fluent	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I'm fluent	No experience / not seen it at all	Helps With Profession	Individual project at work	3	I have some experience writing code	Canada	Male	4	4	8-10 hours	8-10 hours	4	4
1/16/2014 17:43:32	18-24	Bachelor's Degree (or equivalent)	Computer Science	Yes	3-5 years	1-4 hours	1	5		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I'm an expert	I've seen and understand some code		I have some experience writing code	I'm fluent	Personal Interest/Curiosity	Personal projects	1	I have some experience writing code	Russian Federation	Male	2	2	4-6 hours	4-6 hours	2	2
1/16/2014 17:43:42	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	6-8 hours	3	4		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I have some experience writing code	I have some experience writing code		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	Team project at work	3	I have some experience writing code	Finland	Male	4	3	8-10 hours	6-8 hours	4	3
1/16/2014 17:43:42	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	4-6 hours	3	5		IntelliJ	IntelliJ	I'm fluent	I'm fluent	I'm fluent	I'm fluent		I'm fluent	I have some experience writing code	Personal Interest/Curiosity	No application plans, attended for general interest	4	I've seen and understand some code	Germany	Male	5	3	8-10 hours	6-8 hours	5	3
1/16/2014 17:43:49	18-24	Bachelor's Degree (or equivalent)	Computer Science	Yes	3-5 years	1-4 hours	3	3		IntelliJ	Eclipse	I have some experience writing code	No experience / not seen it at all	No experience / not seen it at all	I have some experience writing code		I've seen and understand some code	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	4	No experience / not seen it at all	United Kingdom	Male	3	3	4-6 hours	4-6 hours	4	4
1/16/2014 17:43:50	25-34	Master's Degree (or equivalent)	Computer Science	No	7-10 years	1-4 hours	3	5		vim	Eclipse	I have some experience writing code	I have some experience writing code	I have some experience writing code	I have some experience writing code		I'm an expert	I've seen and understand some code	Helps With Profession	Individual project at work	3	I've seen and understand some code	United States	Male	3	3	1-4 hours	1-4 hours	3	3
1/16/2014 17:43:50	35-44	Bachelor's Degree (or equivalent)	Electrical Engineering	No	10-15 years	1-4 hours	2	5		IntelliJ	Eclipse	I'm an expert	I have some experience writing code	No experience / not seen it at all	I have some experience writing code		I've seen and understand some code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	1	No experience / not seen it at all	Ireland	Male	3	3	4-6 hours	1-4 hours	3	3
1/16/2014 17:43:54	35-44	Bachelor's Degree (or equivalent)	Computer Science	No	20+ years	8-10 hours	3	1		emacs	emacs	I'm an expert	I'm fluent	I'm fluent	No experience / not seen it at all		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I'm an expert	United Kingdom	Male	3	3	8-10 hours	1-4 hours	3	3
1/16/2014 17:43:55	35-44	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	6-8 hours	3	5		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I have some experience writing code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Individual project at work	3	No experience / not seen it at all	Spain	Male	4	4	10+ hours	8-10 hours	5	4
1/16/2014 17:43:56	25-34	Some College (or equivalent)	Computer/Software Engineering	No	10-15 years	6-8 hours	3	5		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I'm fluent	No experience / not seen it at all	Helps With Profession	Personal projects	4	No experience / not seen it at all	Argentina	Male	3	3	6-8 hours	1-4 hours	4	4
1/16/2014 17:43:56	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	6-8 hours	4	5		emacs	Eclipse	I've seen and understand some code	I've seen and understand some code	I'm fluent	No experience / not seen it at all		I've seen and understand some code	I've seen and understand some code	Helps With Profession	Team project at work	5	I'm fluent	Ukraine	Male	3	3	6-8 hours	6-8 hours	3	3
1/16/2014 17:43:57	35-44	Master's Degree (or equivalent)	Statistics/Mathematics	Yes	7-10 years	1-4 hours	2	5		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I have some experience writing code	No experience / not seen it at all		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	Team project at work	2	I've seen and understand some code	United States	Male	4	4	6-8 hours	6-8 hours	3	2
1/16/2014 17:43:57	35-44	Master's Degree (or equivalent)	Computer Science	Yes	10-15 years	8-10 hours	3	4		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I have some experience writing code	No experience / not seen it at all		I have some experience writing code	I've seen and understand some code	Helps With Profession	Team project at work	3	No experience / not seen it at all	Argentina	Male	4	5	10+ hours	8-10 hours	3	3
1/16/2014 17:43:57	18-24	Master's Degree (or equivalent)	Electrical Engineering	Yes	10-15 years	1-4 hours	2	5		Eclipse	netbeans	I have some experience writing code	I've seen and understand some code	I'm an expert	I've seen and understand some code		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Russian Federation	Male	4	3	6-8 hours	10+ hours	4	4
1/16/2014 17:43:59	35-44	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	15-20 years	8-10 hours	3	4		IntelliJ	IntelliJ	I'm an expert	No experience / not seen it at all	No experience / not seen it at all	No experience / not seen it at all		I have some experience writing code	I've seen and understand some code	Helps With Profession	Team project at work	4	No experience / not seen it at all	Italy	Male	4	4	10+ hours	10+ hours	4	4
1/16/2014 17:44:00	25-34	Master's Degree (or equivalent)	Computer Science	Yes	7-10 years	6-8 hours	2	4		Eclipse	Eclipse	I'm fluent	I'm fluent	I'm fluent	I have some experience writing code		I have some experience writing code	I have some experience writing code	Helps With Profession	Team project at work	2	I've seen and understand some code	India	Male	4	3	8-10 hours	6-8 hours	5	4
1/16/2014 17:44:03	35-44	Master's Degree (or equivalent)	Computer Science	Yes	20+ years	1-4 hours	2	4		emacs	emacs	I'm fluent	I'm an expert	I'm fluent	I've seen and understand some code		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	Individual project at work	2	I have some experience writing code	Finland	Male	4	3	8-10 hours	6-8 hours	4	3
1/16/2014 17:44:05	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	1-4 hours	2	5		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I'm an expert	I'm fluent		I'm fluent	I have some experience writing code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I have some experience writing code	Lithuania	Male	3	3	1-4 hours	1-4 hours	3	3
1/16/2014 17:44:06	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	1-4 hours	3	5		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I've seen and understand some code	No experience / not seen it at all		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	Netherlands	Male	4	3	1-4 hours	4-6 hours	3	4
1/16/2014 17:44:06	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	6-8 hours	4	5		Sublime Text	Sublime Text	I'm fluent	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Personal projects	4	I've seen and understand some code	Germany	Male	4	4	6-8 hours	6-8 hours	4	4
1/16/2014 17:44:06	18-24	Bachelor's Degree (or equivalent)	Liberal Arts	No	1-2 years	8-10 hours	2	4		Light Table	Eclipse	I have some experience writing code	I've seen and understand some code	I'm fluent	No experience / not seen it at all		I'm an expert	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	2	I have some experience writing code	United States	Male	4	4	4-6 hours	6-8 hours	5	4
1/16/2014 17:44:08	18-24	Bachelor's Degree (or equivalent)	Computer/Software Engineering	No	3-5 years	1-4 hours	5	3		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	No experience / not seen it at all	I've seen and understand some code		I'm fluent	No experience / not seen it at all	Helps With Profession	Team project at work	5	No experience / not seen it at all	Colombia	Male	5	5	1-4 hours	1-4 hours	5	5
1/16/2014 17:44:09	35-44	Master's Degree (or equivalent)	Computer Science	Yes	20+ years	1-4 hours	1	2		IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I've seen and understand some code	I have some experience writing code		I have some experience writing code	I have some experience writing code	Helps With Profession	Team project at work	1	I have some experience writing code	Germany	Male	2	3	1-4 hours	1-4 hours	2	3
1/16/2014 17:44:12	18-24	Master's Degree (or equivalent)	Computer/Software Engineering	No	3-5 years	4-6 hours	3	5		XCode	Sublime Text	I've seen and understand some code	I'm an expert	I've seen and understand some code	I have some experience writing code		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	3	I've seen and understand some code	Ukraine	Male	3	2	6-8 hours	1-4 hours	4	2
1/16/2014 17:44:13	45-54	Master's Degree (or equivalent)	Computer Science	Yes	15-20 years	6-8 hours	2	4		IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I have some experience writing code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Helps With Profession	Team project at work	3	I have some experience writing code	Belgium	Male	3	3	6-8 hours	8-10 hours	3	4
1/16/2014 17:44:14	35-44	Doctorate Degree (or equivalent)	Physics	Yes	15-20 years	6-8 hours	3	4		IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I have some experience writing code	Helps With Profession	Team project at work	3	I'm fluent	France	Male	3	3	8-10 hours	8-10 hours	4	4
1/16/2014 17:44:15	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	4-6 hours	3	5		Visual Studio	Eclipse	I have some experience writing code	I've seen and understand some code	I have some experience writing code	I'm fluent		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	4	No experience / not seen it at all	United Kingdom	Female	4	4	4-6 hours	4-6 hours	4	4
1/16/2014 17:44:15	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	4-6 hours	3	5		Visual Studio	IntelliJ	I have some experience writing code	I've seen and understand some code	I have some experience writing code	I'm an expert		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Germany	Male	4	4	1-4 hours	1-4 hours	4	5
1/16/2014 17:44:15	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	0-1 years	8-10 hours	4	5		IntelliJ	Eclipse	I'm fluent	No experience / not seen it at all	I have some experience writing code	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	4	No experience / not seen it at all	Afghanistan	Male	4	4	10+ hours	8-10 hours	4	4
1/16/2014 17:44:18	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	1-4 hours	2	4		Visual Studio	Eclipse	I have some experience writing code	I've seen and understand some code	I've seen and understand some code	I'm an expert		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	1	I've seen and understand some code	United Kingdom	Male	3	3	4-6 hours	6-8 hours	3	4
1/16/2014 17:44:21	18-24	Some College (or equivalent)		Yes	3-5 years	4-6 hours	3	5		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I have some experience writing code	No experience / not seen it at all		No experience / not seen it at all	No experience / not seen it at all	University Studies	Personal projects	3	No experience / not seen it at all	Switzerland	Male	4	3	4-6 hours	4-6 hours	4	3
1/16/2014 17:44:21	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	1-4 hours	3	5		vim	vim	I have some experience writing code	I'm fluent	I have some experience writing code	No experience / not seen it at all		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	France	Male	3	3	4-6 hours	1-4 hours	3	4
1/16/2014 17:44:21	25-34	Bachelor's Degree (or equivalent)	Computer Science	No	5-7 years	6-8 hours	4	2		Sublime Text	Eclipse	I'm an expert	I'm fluent	I have some experience writing code	I have some experience writing code		I'm an expert	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	5	No experience / not seen it at all	Korea, Republic Of	Male	5	5	4-6 hours	1-4 hours	5	5
1/16/2014 17:44:24	35-44	Master's Degree (or equivalent)	Computer Science	No	15-20 years	4-6 hours	4	1		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I have some experience writing code	I've seen and understand some code	Helps With Profession	Team project at work	5	I've seen and understand some code	United States	Male	4	4	10+ hours	10+ hours	5	5
1/16/2014 17:44:25	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	1-4 hours	3	5		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I have some experience writing code	I have some experience writing code		I have some experience writing code	I have some experience writing code	Helps With Profession	Team project at work	3	I have some experience writing code	Ukraine	Male	3	3	4-6 hours	4-6 hours	3	3
1/16/2014 17:44:25	45-54	Bachelor's Degree (or equivalent)	Computer Science	Yes	20+ years	4-6 hours	3	5		IntelliJ	IntelliJ	I'm an expert	I'm fluent	I've seen and understand some code	I have some experience writing code		I've seen and understand some code	I've seen and understand some code	Helps With Profession	Individual project at work	3	I've seen and understand some code	Canada	Male	3	3	4-6 hours	4-6 hours	4	4
1/16/2014 17:44:25	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	7-10 years	4-6 hours	3	3		emacs	emacs	I've seen and understand some code	I'm fluent	I've seen and understand some code	No experience / not seen it at all		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	Individual project at work	2	I have some experience writing code	United States	Male	2	2	4-6 hours	4-6 hours	2	2
1/16/2014 17:44:27	35-44	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	6-8 hours	4	5		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I'm fluent	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Personal projects	4	No experience / not seen it at all	United States	Male	3	3	4-6 hours	4-6 hours	3	3
1/16/2014 17:44:28	25-34	Master's Degree (or equivalent)	Physics	Yes	7-10 years	4-6 hours	3	5		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I'm fluent	No experience / not seen it at all		I'm fluent	I have some experience writing code	Personal Interest/Curiosity	Personal projects	3	I have some experience writing code	Russian Federation	Male	4	4	6-8 hours	8-10 hours	4	4
1/16/2014 17:44:28	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	No	10-15 years	4-6 hours	3	5		IntelliJ	Eclipse	I'm an expert	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	United Kingdom	Male	4	5	1-4 hours	1-4 hours	4	5
1/16/2014 17:44:30	45-54	Some College (or equivalent)	Computer Science	Yes	20+ years	4-6 hours	1	5		IntelliJ	IntelliJ	I'm an expert	I'm fluent	I have some experience writing code	I've seen and understand some code		I have some experience writing code	I've seen and understand some code	Helps With Profession	Individual project at work	1	I've seen and understand some code	United States	Male	4	3	10+ hours	8-10 hours	4	3
1/16/2014 17:44:31	25-34	Master's Degree (or equivalent)	Computer Science	Yes	7-10 years	4-6 hours	3	4		IntelliJ	IntelliJ	I'm an expert	I'm fluent	I'm an expert	I'm fluent		I'm fluent	I'm fluent	Helps With Profession	Individual project at work	4	I have some experience writing code	United States	Male	3	2	4-6 hours	4-6 hours	5	4
1/16/2014 17:44:31	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	4-6 hours	3	2		Eclipse	Eclipse	I'm fluent	I've seen and understand some code	No experience / not seen it at all	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	3	No experience / not seen it at all	France	Male	3	3	4-6 hours	4-6 hours	3	3
1/16/2014 17:44:33	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	15-20 years	4-6 hours	2	4		Sublime Text	Sublime Text	I have some experience writing code	I'm fluent	I have some experience writing code	I've seen and understand some code		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	Individual project at work	2	I have some experience writing code	Taiwan, Province Of China	Male	3	3	4-6 hours	4-6 hours	4	4
1/16/2014 17:44:33	25-34	Master's Degree (or equivalent)	Computer Science	Yes	7-10 years	4-6 hours	3	4		IntelliJ	vim	I have some experience writing code	I'm fluent	I'm an expert	I have some experience writing code		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	University projects	3	I've seen and understand some code	Italy	Male	4	4	6-8 hours	6-8 hours	4	4
1/16/2014 17:44:35	55-64	Master's Degree (or equivalent)	Electrical Engineering	No	15-20 years	10+ hours	3	3		Eclipse	Eclipse	I'm an expert	I'm fluent	I have some experience writing code	I have some experience writing code		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	4	I've seen and understand some code	United States	Male	5	4	6-8 hours	1-4 hours	5	4
1/16/2014 17:44:35	25-34	Master's Degree (or equivalent)	Computer Science	Yes	7-10 years	1-4 hours	2	5		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I've seen and understand some code	Helps With Profession	Team project at work	2	I've seen and understand some code	Poland	Male	2	2	1-4 hours	1-4 hours	2	2
1/16/2014 17:44:37	35-44	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	4-6 hours	3	4		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I have some experience writing code	I'm fluent		I'm fluent	No experience / not seen it at all	Helps With Profession	Team project at work	3	I've seen and understand some code	United States	Male	4	4	8-10 hours	6-8 hours	4	4
1/16/2014 17:44:37	35-44	Doctorate Degree (or equivalent)	Computer Science	No	15-20 years	4-6 hours	2	2		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Individual project at work	5	I've seen and understand some code	Poland	Male	1	1	1-4 hours	1-4 hours	1	1
1/16/2014 17:44:37	18-24	Master's Degree (or equivalent)	Computer Science	Yes	10-15 years	1-4 hours	2	4		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	No experience / not seen it at all	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Slovakia	Male	3	2	6-8 hours	4-6 hours	5	3
1/16/2014 17:44:40	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	7-10 years	6-8 hours	4	2		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	Individual project at work	4	I have some experience writing code	United Kingdom	Male	5	4	10+ hours	10+ hours	5	4
1/16/2014 17:44:40	25-34	Doctorate Degree (or equivalent)	Computer Science	No	10-15 years	1-4 hours	4	4		Eclipse	Eclipse	I have some experience writing code	I'm fluent	I have some experience writing code	No experience / not seen it at all		No experience / not seen it at all	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	4	No experience / not seen it at all	Czech Republic	Male	3	3	1-4 hours	1-4 hours	4	4
1/16/2014 17:44:41	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	4-6 hours	3	4		IntelliJ	IntelliJ	I'm an expert	I'm an expert	I have some experience writing code	I've seen and understand some code		I'm an expert	I have some experience writing code	Personal Interest/Curiosity	Team project at work	3	I have some experience writing code	France	Male	3	3	4-6 hours	4-6 hours	3	4
1/16/2014 17:44:41	18-24	Bachelor's Degree (or equivalent)	Computer/Software Engineering	No	1-2 years	1-4 hours	3	3		Sublime Text	Sublime Text	No experience / not seen it at all	I'm fluent	No experience / not seen it at all	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	3	No experience / not seen it at all	India	Male	3	3	1-4 hours	1-4 hours	3	3
1/16/2014 17:44:41	25-34	Master's Degree (or equivalent)	Computer Science	No	7-10 years	4-6 hours	5	1		IntelliJ	Eclipse	I'm fluent	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Individual project at work	5	No experience / not seen it at all	Netherlands	Male	4	3	1-4 hours	1-4 hours	3	3
1/16/2014 17:44:42	35-44	High School (or equivalent)	Computer/Software Engineering	Yes	10-15 years	1-4 hours	2	4		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I'm fluent	I have some experience writing code		I have some experience writing code	I've seen and understand some code	Helps With Profession	Team project at work	2	I've seen and understand some code	France	Male	2	2	1-4 hours	1-4 hours	2	2
1/16/2014 17:44:44	18-24	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	6-8 hours	3	5		IntelliJ	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I have some experience writing code		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	Team project at work	3	I have some experience writing code	Russian Federation	Male	3	3	6-8 hours	6-8 hours	3	3
1/16/2014 17:44:45	35-44	Bachelor's Degree (or equivalent)	Computer Science	Yes	15-20 years	1-4 hours	2	4		IntelliJ	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	I've seen and understand some code	Helps With Profession	Personal projects	2	I've seen and understand some code	Brazil	Male	3	4	4-6 hours	4-6 hours	3	4
1/16/2014 17:44:46	45-54	Master's Degree (or equivalent)	Computer Science	Yes	15-20 years	6-8 hours	4	5		Visual Studio	Eclipse	I have some experience writing code	I'm fluent	I'm fluent	I'm an expert		I'm fluent	I'm fluent	Personal Interest/Curiosity	Team project at work	3	I'm an expert	United Kingdom	Male	3	3	6-8 hours	6-8 hours	3	3
